JobID,Jenjang,Kualifikasi,Posisi,Gender,Provinsi,Kota,Pengalaman,Skill 1,Skill 2,Skill 3,Gaji,Jenis,Perusahaan,TglPosting,Jenis Perusahaan,Link,Deskripsi
11,General,Bachelor Degree,It teacher,General,Jakarta,Jakarta Utara,0,Operate a computer,Experience in teaching kids,Proficient in English,0,Full time,Koding Next,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/yuda-augusta-6b43ba14b_linkedin-activity-7066728464350904320-_2MS?utm_source=share&utm_medium=member_desktop,"open to candidates with experience in teaching kids, young age around (4-7, or 8-16 years old), and fluent in English."
12,General,Bachelor Degree,It teacher,General,Jakarta,Jakarta Utara,0,Operate a computer,Experience in teaching kids,Proficient in English,0,Full time,Koding Next,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/yuda-augusta-6b43ba14b_linkedin-activity-7066728464350904320-_2MS?utm_source=share&utm_medium=member_desktop,"open to candidates with experience in teaching kids, young age around (4-7, or 8-16 years old), and fluent in English."
13,General,Bachelor Degree,It teacher,General,Banten,Bintaro,0,Operate a computer,Experience in teaching kids,Proficient in English,0,Full time,Koding Next,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/yuda-augusta-6b43ba14b_linkedin-activity-7066728464350904320-_2MS?utm_source=share&utm_medium=member_desktop,"open to candidates with experience in teaching kids, young age around (4-7, or 8-16 years old), and fluent in English."
14,General,Bachelor Degree,It teacher,General,Jakarta,Jakarta Utara,0,Operate a computer,Experience in teaching kids,Proficient in English,0,Part time,Koding Next,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/yuda-augusta-6b43ba14b_linkedin-activity-7066728464350904320-_2MS?utm_source=share&utm_medium=member_desktop,"open to candidates with experience in teaching kids, young age around (4-7, or 8-16 years old), and fluent in English."
15,General,Bachelor Degree,It teacher,General,Banten,Tangerang Selatan,0,Operate a computer,Experience in teaching kids,Proficient in English,0,Part time,Koding Next,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/yuda-augusta-6b43ba14b_linkedin-activity-7066728464350904320-_2MS?utm_source=share&utm_medium=member_desktop,"open to candidates with experience in teaching kids, young age around (4-7, or 8-16 years old), and fluent in English."
16,General,Bachelor Degree,It teacher,General,Kepulauan Riau,Batam,0,Operate a computer,Proficient in English,Experience in teaching kids,0,Full time,Koding Next,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/yuda-augusta-6b43ba14b_linkedin-activity-7066728464350904320-_2MS?utm_source=share&utm_medium=member_desktop,"open to candidates with experience in teaching kids, young age around (4-7, or 8-16 years old), and fluent in English."
17,General,Bachelor Degree,It teacher,General,Jawa Barat,Cikarang,0,Operate a computer,Proficient in English,Experience in teaching kids,0,Full time,Koding Next,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/yuda-augusta-6b43ba14b_linkedin-activity-7066728464350904320-_2MS?utm_source=share&utm_medium=member_desktop,"open to candidates with experience in teaching kids, young age around (4-7, or 8-16 years old), and fluent in English."
18,General,Bachelor Degree,It teacher,General,Jawa Barat,Bekasi,0,Operate a computer,Proficient in English,Experience in teaching kids,0,Full time,Koding Next,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/yuda-augusta-6b43ba14b_linkedin-activity-7066728464350904320-_2MS?utm_source=share&utm_medium=member_desktop,"open to candidates with experience in teaching kids, young age around (4-7, or 8-16 years old), and fluent in English."
19,General,Bachelor Degree,It teacher,General,Papua,Jayapura,0,Operate a computer,Experience in teaching kids,Proficient in English,0,Full time,Koding Next,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/yuda-augusta-6b43ba14b_linkedin-activity-7066728464350904320-_2MS?utm_source=share&utm_medium=member_desktop,"open to candidates with experience in teaching kids, young age around (4-7, or 8-16 years old), and fluent in English."
20,General,Bachelor Degree,It teacher,General,Kalimantan Barat,Samarinda,0,Operate a computer,Proficient in English,Experience in teaching kids,0,Full time,Koding Next,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/yuda-augusta-6b43ba14b_linkedin-activity-7066728464350904320-_2MS?utm_source=share&utm_medium=member_desktop,"open to candidates with experience in teaching kids, young age around (4-7, or 8-16 years old), and fluent in English."
21,General,Bachelor Degree,It teacher,General,Jawa Timur,Surabaya,0,Operate a computer,Experience in teaching kids,Proficient in English,0,Full time,Koding Next,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/yuda-augusta-6b43ba14b_linkedin-activity-7066728464350904320-_2MS?utm_source=share&utm_medium=member_desktop,"open to candidates with experience in teaching kids, young age around (4-7, or 8-16 years old), and fluent in English."
22,Elementary School,Bachelor Degree,English Teacher,General,Sulawesi Selatan,Makassar,0,Proficient in English,Experience in teaching kids,Lesson Plan,0,Part time,Privat,2023-05-23,Lembaga Kursus,https://www.linkedin.com/posts/robby-wirawan-2948a21b1_were-hiring-english-speaking-teacher-needed-activity-7066643580202733568-ZsJe?utm_source=share&utm_medium=member_desktop,"Fluent in English, Experience teaching Math MyPals, Experience teaching reading and writing to primary school students, Passionate about teaching and working with children"
23,Senior High School,Master Degree,Math Teacher,General,Jawa Timur,Surabaya,12,Mathematics,Proficient in English,Communication,0,Full time,Sekolah Ciputra,2023-05-16,Sekolah,https://www.linkedin.com/posts/vaniaoktaviani_teaching-opportunity-hai-all-sekolah-activity-7061978184656826368-S6Oj?utm_source=share&utm_medium=member_desktop,"Experience in IBDP would be preffered, bachelor or master's degree in mathematics, IELTS score equal to or above 6.0"
24,Senior High School,Master Degree,Counseling Teacher,General,Jawa Barat,Cirebon,60,Psychology,Communication,Creative,0,Full time,SPK Kinderfield-Highfield School Cirebon,2023-05-17,Sekolah,https://www.linkedin.com/posts/laurenzmahar_wearehiring-wearehiringnow-psychology-activity-7064403630661009408-8fkP?utm_source=share&utm_medium=member_desktop,"Minimum Master's degree, Counselling credential or certification, Minimum five years of experience in comprehensive counseling (academic, social/emotional, university advising), Experience with and commitment to a Professional Learning Community and departmental work, Demonstrated background in associating with students outside of the classroom environment, Passion for high school students, A clear commitment to child safeguarding safety, service learning and environmental stewardship"
25,General,Bachelor Degree,Digital Marketing,General,Jakarta,Jakarta Barat,24,Marketing,Proficient in English,Creative,0,Full time,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Maximum age of 35 years old, Bachelor's degree in related field, minimum 2 years of experience in related field, have a calling in education, proficient in English"
26,General,Bachelor Degree,Digital Marketing,General,Kalimantan Barat,Samarinda,24,Marketing,Proficient in English,Communication,0,Full time,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Maximum age of 35 years old, Bachelor's degree in related field, minimum 2 years of experience in related field, have a calling in education, proficient in English"
27,Senior High School,Bachelor Degree,Economic Teacher,General,Jawa Barat,Bogor,24,Economy,Proficient in English,Lesson Plan,0,Full time,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Maximum age of 35 years old, Bachelor's degree in related field, minimum 2 years of experience in related field, have a calling in education, proficient in English"
28,Junior High School,Bachelor Degree,Civics Teacher,General,Jawa Timur,Surabaya,24,Civics,Proficient in English,Collaboration,0,Full time,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Maximum age of 35 years old, Bachelor's degree in related field, minimum 2 years of experience in related field, have a calling in education, proficient in English"
29,General,Bachelor Degree,Economic Teacher,General,Maluku,Ambon,24,Economy,Proficient in English,Communication,0,Full time,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Maximum age of 35 years old, Bachelor's degree in related field, minimum 2 years of experience in related field, have a calling in education, proficient in English"
30,Junior High School,Bachelor Degree,ICT Teacher,General,Kalimantan Barat,Samarinda,24,Operate a computer,Proficient in English,Creative,0,Full time,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Maximum age of 35 years old, Bachelor's degree in related field, minimum 2 years of experience in related field, have a calling in education, proficient in English"
31,Senior High School,Bachelor Degree,ICT Teacher,General,Kalimantan Barat,Samarinda,24,Operate a computer,Proficient in English,Communication,0,Full time,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Maximum age of 35 years old, Bachelor's degree in related field, minimum 2 years of experience in related field, have a calling in education, proficient in English"
32,General,Bachelor Degree,Christian Religion Curriculum Staff,General,,,24,Christian Religion,Proficient in English,Leadership,0,Full time,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Maximum age of 35 years old, Bachelor's degree in related field, minimum 2 years of experience in related field, have a calling in education, proficient in English"
33,General,Bachelor Degree,English teacher,General,Maluku,Ambon,24,Proficient in English,Communication,Creative,0,Full time,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Maximum age of 35 years old, Bachelor's degree in related field, minimum 2 years of experience in related field, have a calling in education, proficient in English"
34,General,High School Diploma,ICT Support Specialist,General,Kalimantan Barat,Samarinda,0,Operate a computer,Microsoft Office,Communication,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
35,Elementary School,High School Diploma,Homeroom teacher,General,Jakarta,Jakarta Barat,0,Leadership,Creative,Lesson Plan,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
36,General,High School Diploma,English teacher,General,Banten,Tangerang,0,Proficient in English,Communication,Leadership,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
37,General,High School Diploma,English teacher,General,Jawa Barat,Cileungsi,0,Proficient in English,Collaboration,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
38,General,High School Diploma,English teacher,General,Maluku,Ambon,0,Proficient in English,Communication,Creative,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
39,General,High School Diploma,English teacher,General,Jakarta,Jakarta Barat,0,Proficient in English,Microsoft Office,Communication,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
40,General,High School Diploma,Christian Religion Teacher,General,Jakarta,Jakarta Barat,0,Christian Religion,Leadership,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
41,General,High School Diploma,Christian Religion Teacher,General,Kalimantan Barat,Samarinda,0,Christian Religion,Microsoft Office,Communication,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
42,General,High School Diploma,Christian Religion Teacher,General,Jawa Barat,Cileungsi,0,Christian Religion,Collaboration,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
43,General,High School Diploma,Counseling Teacher,General,Banten,Tangerang,0,Psychology,Communication,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
44,General,High School Diploma,it teacher,General,Jawa Timur,Surabaya,0,Operate a computer,Microsoft Office,Leadership,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
45,General,High School Diploma,it teacher,General,Kalimantan Barat,Samarinda,0,Operate a computer,Collaboration,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
46,General,High School Diploma,it teacher,General,Jawa Barat,Cileungsi,0,Operate a computer,Microsoft Office,Communication,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
47,General,High School Diploma,it teacher,General,Sulawesi Utara,Manado,0,Operate a computer,Microsoft Office,Leadership,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
48,General,High School Diploma,Digital Marketing,General,Sulawesi Utara,Manado,0,Marketing,Collaboration,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
49,General,High School Diploma,Digital Marketing,General,Kalimantan Barat,Samarinda,0,Marketing,Operate a computer,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
50,General,High School Diploma,Digital Marketing,General,Jawa Barat,Cileungsi,0,Marketing,Collaboration,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
51,General,High School Diploma,Digital Marketing,General,Jakarta,Jakarta Barat,0,Marketing,Microsoft Office,Communication,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
52,General,High School Diploma,Javanese Teacher,General,Jawa Timur,Surabaya,0,Javanese Culture,Microsoft Office,Leadership,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
53,General,High School Diploma,Civics and Social Teacher,General,Banten,Tangerang,0,Social Sciences,Collaboration,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
54,General,High School Diploma,Civics and Social Teacher,General,Jawa Barat,Cileungsi,0,Social Sciences,Microsoft Office,Communication,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
55,General,High School Diploma,Civics and Social Teacher,General,Jawa Tengah,Semarang,0,Social Sciences,Microsoft Office,Collaboration,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
56,General,High School Diploma,Physical Education and Health Teachers,General,Banten,Tangerang,0,Sport,Microsoft Office,Leadership,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
57,General,High School Diploma,Physical Education and Health Teachers,General,Jawa Timur,Surabaya,0,Sport,Microsoft Office,Communication,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
58,General,High School Diploma,Physical Education and Health Teachers,General,Maluku,Ambon,0,Sport,Collaboration,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
59,General,High School Diploma,Kindergarten Teacher,General,Banten,Tangerang,0,Experience in teaching kids,Collaboration,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
60,General,High School Diploma,Kindergarten Teacher,General,Jawa Timur,Surabaya,0,Experience in teaching kids,Communication,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
61,General,High School Diploma,Kindergarten Teacher,General,Maluku,Ambon,0,Experience in teaching kids,Leadership,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
62,General,High School Diploma,Physic Teacher,General,Banten,Tangerang,0,Physic,Microsoft Office,Communication,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
63,General,High School Diploma,Physic Teacher,General,Jawa Timur,Surabaya,0,Physic,Microsoft Office,Collaboration,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
64,General,High School Diploma,Physic Teacher,General,Maluku,Ambon,0,Physic,Microsoft Office,Leadership,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
65,General,High School Diploma,Academic Administration,General,Kalimantan Barat,Samarinda,0,Administrative,Microsoft Office,Collaboration,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
66,General,High School Diploma,Academic Administration,General,Maluku,Ambon,0,Administrative,Microsoft Office,Communication,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
67,General,High School Diploma,Academic Administration,General,Jawa Timur,Surabaya,0,Administrative,Microsoft Office,Leadership,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
68,General,High School Diploma,Math Teacher,General,Jakarta,Jakarta Barat,0,Mathematics,Communication,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
69,General,High School Diploma,Math Teacher,General,Jawa Tengah,Semarang,0,Mathematics,Collaboration,Microsoft Office,0,Internship,Sekolah Citra Kasih - Sekolah Ciputra Kasih - Sekolah Citra Berkat,2023-05-04,Sekolah,https://citrakasih.sch.id/vacancy/,"Cover letter, curriculum vitae, Identity Card, Transcripts, Surat Tugas Magang dari Universitas"
